"Month","Tmin","Tmax","CP"
10,-7,25,0
10,-7,26,0
10,-7,27,0
10,-7,28,0
10,-7,29,0
10,-7,30,0
10,-6,-6,7.48245387201568e-06
10,-6,-5,1.90206875761918e-05
10,-6,-4,6.56692934929452e-05
10,-6,-3,0.000269875360996408
10,-6,-2,0.00119557710013513
10,-6,-1,0.00541810237161386
10,-6,0,0.024300161011709
10,-6,1,0.0999445046462891
10,-6,2,0.307312107641413
10,-6,3,0.538444928714701
10,-6,4,0.576581107793346
10,-6,5,0.608386636155931
10,-6,6,0.588254992318569
10,-6,7,0.665121269334602
10,-6,8,0.650506831297862
10,-6,9,0.639623013722379
10,-6,10,0.676709020809666
10,-6,11,0.660498107404522
10,-6,12,0.615268962703107
10,-6,13,0.590895776214296
10,-6,14,0.5810899085231
10,-6,15,0.592195289075303
10,-6,16,0.591773979922763
10,-6,17,0.564563058510176
10,-6,18,0.549471029483588
10,-6,19,0.514664832859513
10,-6,20,0.437221860454385
10,-6,21,0.38284899415109
10,-6,22,0.373527898684495
10,-6,23,0.0645221226463857
10,-6,24,0
10,-6,25,0
10,-6,26,0
10,-6,27,0
10,-6,28,0
10,-6,29,0
